strategy,match_time_utc,event,match,market,pick,best_of,book,odds,stake,result,pl,cum_pl,clv_pp,clv_ref,close_quality,status,flagged_at_utc
bo3_dog_plus_1_5_bookC_v0,2026-07-28 14:00,,ex-RUSTEC vs UNiTY,+1.5 maps,UNiTY,3,SoftBook C,1.35,1,won,0.35,,,,,ineligible,2026-07-28 13:07
bo3_dog_plus_1_5_bookC_v0,2026-07-28 17:00,,SPARTA vs G2 Ares,+1.5 maps,G2 Ares,3,SoftBook C,1.4,1,lost,-1.0,-1.0,0.0,bookC_self,,selected,2026-07-28 14:05
bo3_dog_plus_1_5_bookC_v0,2026-07-30 11:00,,GenOne vs ex-RUSTEC,+1.5 maps,ex-RUSTEC,3,SoftBook C,1.65,1,lost,-1.0,,0.0,bookC_self,,ineligible,2026-07-29 22:05
bo3_dog_plus_1_5_bookC_v0,2026-07-30 18:00,,ShindeN vs Imperial,+1.5 maps,ShindeN,3,SoftBook C,1.52,1,won,0.52,-0.48,0.88,bookC_self,,selected,2026-07-29 22:05
bo3_dog_plus_1_5_bookC_v0,2026-07-30 18:15,,aimclub vs Spirit Academy,+1.5 maps,aimclub,3,SoftBook C,1.78,1,won,0.78,,4.58,bookC_self,,quarantined,2026-07-29 21:06
bo3_dog_plus_1_5_bookC_v0,2026-07-30 22:00,,SportsBetExpert vs Voca,+1.5 maps,SportsBetExpert,3,SoftBook C,1.85,1,won,0.85,,4.07,bookC_self,,ineligible,2026-07-30 10:47
bo3_dog_plus_1_5_bookC_v0,2026-07-31 17:00,,CYBERSHOKE vs STATE,+1.5 maps,STATE,3,SoftBook C,1.75,1,lost,-1.0,,2.44,bookC_self,,quarantined,2026-07-31 12:09
bo3_dog_plus_1_5_bookC_v0,2026-08-01 08:00,,GenOne vs JiJieHao,+1.5 maps,GenOne,3,SoftBook C,1.38,1,won,0.38,-0.1,0.0,bookC_self,,selected,2026-07-31 23:07
bo3_dog_plus_1_5_bookC_v0,2026-08-01 08:00,,INOX Division vs SINNERS,+1.5 maps,INOX Division,3,SoftBook C,1.43,1,won,0.43,0.33,-0.93,bookC_self,,selected,2026-07-31 23:07
bo3_dog_plus_1_5_bookC_v0,2026-08-02 15:30,,Young TigeRES vs Spirit Academy,+1.5 maps,Young TigeRES,3,SoftBook C,1.68,1,lost,-1.0,-0.67,-0.71,bookC_self,,selected,2026-08-02 06:05
bo3_dog_plus_1_5_bookC_v0,2026-08-03 08:00,,WW vs CYBERSHOKE Prospects,+1.5 maps,CYBERSHOKE Prospects,3,SoftBook C,1.58,1,won,0.58,,3.58,bookC_self,,quarantined,2026-08-02 19:04
bo3_dog_plus_1_5_bookC_v0,2026-08-03 10:00,,Metizport vs Johnny Speeds,+1.5 maps,Johnny Speeds,3,SoftBook C,1.58,1,lost,-1.0,-1.67,-3.55,bookC_self,,selected,2026-08-02 11:08
bo3_dog_plus_1_5_bookC_v0,2026-08-03 11:00,,1win vs ex-RUBY,+1.5 maps,ex-RUBY,3,SoftBook C,1.42,1,won,0.42,-1.25,-2.91,bookC_self,,selected,2026-08-02 19:04
bo3_dog_plus_1_5_bookC_v0,2026-08-04 10:00,,Rooster vs FURY,+1.5 maps,FURY,3,SoftBook C,2.08,1,lost,-1.0,,0.0,bookC_self,,ineligible,2026-08-04 06:06
bo3_dog_plus_1_5_bookC_v0,2026-08-04 14:00,,Nemiga vs GenOne,+1.5 maps,GenOne,3,SoftBook C,1.4,1,won,0.4,-0.85,,,,selected,2026-08-03 15:06
bo3_dog_plus_1_5_bookC_v0,2026-08-04 17:00,,Eternal Fire vs INOX Division,+1.5 maps,INOX Division,3,SoftBook C,1.42,1,won,0.42,-0.43,3.1,bookC_self,,selected,2026-08-04 06:06
bo3_dog_plus_1_5_bookC_v0,2026-08-05 08:00,,CYBERSHOKE Prospects vs Nuclear TigeRES,+1.5 maps,CYBERSHOKE Prospects,3,SoftBook C,1.55,1,lost,-1.0,,0.0,bookC_self,,ineligible,2026-08-04 20:05
bo3_dog_plus_1_5_bookC_v0,2026-08-05 10:00,,Arcade vs Abyssal,+1.5 maps,Arcade,3,SoftBook C,1.43,1,won,0.43,0.0,-5.51,bookC_self,,selected,2026-08-04 11:06
bo3_dog_plus_1_5_bookC_v0,2026-08-05 11:00,,INOX Division vs 1win,+1.5 maps,INOX Division,3,SoftBook C,1.4,1,won,0.4,,-4.73,bookC_self,,ineligible,2026-08-05 06:07
bo3_dog_plus_1_5_bookC_v0,2026-08-06 10:00,,Ground Zero vs Abyssal,+1.5 maps,Abyssal,3,SoftBook C,1.66,1,lost,-1.0,-1.0,-2.31,bookC_self,,selected,2026-08-05 22:05
bo3_dog_plus_1_5_bookC_v0,2026-08-06 12:00,,1win vs Butterfly,+1.5 maps,Butterfly,3,SoftBook C,1.48,1,won,0.48,,-3.27,bookC_self,,ineligible,2026-08-06 00:05
bo3_dog_plus_1_5_bookC_v0,2026-08-06 14:00,,paiN Academy vs MEIA NOITE,+1.5 maps,paiN Academy,3,SoftBook C,1.58,1,won,0.58,,0.0,bookC_self,,quarantined,2026-08-05 15:07
bo3_dog_plus_1_5_bookC_v0,2026-08-07 09:00,,BC.Game vs BASEMENT BOYS,+1.5 maps,BASEMENT BOYS,3,SoftBook C,3.1,1,won,2.1,,5.06,bookC_self,,quarantined,2026-08-06 10:06
bo3_dog_plus_1_5_bookC_v0,2026-08-07 10:00,,Abyssal vs Arcade,+1.5 maps,Arcade,3,SoftBook C,1.44,1,lost,-1.0,,0.0,bookC_self,,quarantined,2026-08-07 05:08
bo3_dog_plus_1_5_bookC_v0,2026-08-07 17:00,,GenOne vs CYBERSHOKE,+1.5 maps,GenOne,3,SoftBook C,1.28,1,lost,-1.0,-2.0,,,,selected,2026-08-07 12:08
bo3_dog_plus_1_5_bookC_v0,2026-08-08 09:00,,Sashi vs FOKUS,+1.5 maps,Sashi,3,SoftBook C,1.32,1,lost,-1.0,-3.0,0.0,bookC_self,,selected,2026-08-08 00:06
bo3_dog_plus_1_5_bookC_v0,2026-08-08 15:00,,BASEMENT BOYS vs 1win,+1.5 maps,BASEMENT BOYS,3,SoftBook C,1.55,1,lost,-1.0,,-8.47,bookC_self,,ineligible,2026-08-07 16:07
bo3_dog_plus_1_5_bookC_v0,2026-08-09 09:00,,INFINITE vs 100 Thieves,+1.5 maps,INFINITE,3,SoftBook C,1.92,1,lost,-1.0,,6.12,bookC_self,,quarantined,2026-08-08 23:07
bo3_dog_plus_1_5_bookC_v0,2026-08-09 09:00,,FOKUS vs Acend,+1.5 maps,Acend,3,SoftBook C,1.56,1,won,0.56,-2.44,0.1,bookC_self,,selected,2026-08-08 23:07
bo3_dog_plus_1_5_bookC_v0,2026-08-09 21:00,,METANOIA Wolves vs MEIA NOITE,+1.5 maps,METANOIA Wolves,3,SoftBook C,1.58,1,lost,-1.0,-3.44,0.01,bookC_self,,selected,2026-08-09 06:08
bo3_dog_plus_1_5_bookC_v0,2026-08-10 17:00,,BORRACHEIROS vs MEIA NOITE,+1.5 maps,BORRACHEIROS,3,SoftBook C,1.36,1,won,0.36,,-0.97,bookC_self,,quarantined,2026-08-10 06:06
bo3_dog_plus_1_5_bookC_v0,2026-08-10 21:00,,ODDIK Academy vs Patins da Ferrari,+1.5 maps,ODDIK Academy,3,SoftBook C,2.53,1,lost,-1.0,,-0.39,bookC_self,,ineligible,2026-08-10 16:06
bo3_dog_plus_1_5_bookC_v0,2026-08-11 10:00,,Rooster vs Mindfreak,+1.5 maps,Mindfreak,3,SoftBook C,1.64,1,won,0.64,,0.45,bookC_self,,quarantined,2026-08-10 15:06
bo3_dog_plus_1_5_bookC_v0,2026-08-11 10:00,,Abyssal vs Ground Zero,+1.5 maps,Abyssal,3,SoftBook C,2.03,1,won,1.03,-2.41,2.6,bookC_self,,selected,2026-08-11 06:06
bo3_dog_plus_1_5_bookC_v0,2026-08-12 10:00,,Ground Zero vs Mindfreak,+1.5 maps,Mindfreak,3,SoftBook C,2.0,1,lost,-1.0,-3.41,-6.5,bookC_self,,selected,2026-08-11 14:06
bo3_dog_plus_1_5_bookC_v0,2026-08-12 11:10,,ex-RUSTEC vs SAW Youngsters,+1.5 maps,SAW Youngsters,3,SoftBook C,1.73,1,won,0.73,,,,,ineligible,2026-08-12 11:07
bo3_dog_plus_1_5_bookC_v0,2026-08-13 14:00,,Bushido Wildcats vs ex-RUSTEC,+1.5 maps,Bushido Wildcats,3,SoftBook C,1.45,1,won,0.45,,-2.93,bookC_self,,ineligible,2026-08-12 16:06
bo3_dog_plus_1_5_bookC_v0,2026-08-13 17:00,,FaZe vs Legacy,+1.5 maps,Legacy,3,SoftBook C,1.32,1,lost,-1.0,-4.41,0.0,bookC_self,,selected,2026-08-12 18:06
bo3_dog_plus_1_5_bookC_v0,2026-08-14 13:00,,Lavked vs SINQU,+1.5 maps,SINQU,3,SoftBook C,2.58,1,won,1.58,,0.0,bookC_self,,quarantined,2026-08-13 23:08
bo3_dog_plus_1_5_bookC_v0,2026-08-14 14:00,,Vitality vs B8,+1.5 maps,B8,3,SoftBook C,2.7,1,won,1.7,,0.0,bookC_self,,ineligible,2026-08-13 15:16
bo3_dog_plus_1_5_bookC_v0,2026-08-15 16:50,,JiJieHao vs Aurora,+1.5 maps,JiJieHao,3,SoftBook C,2.4,1,lost,-1.0,,1.98,bookC_self,,ineligible,2026-08-14 18:07
