strategy,match_time_utc,event,match,market,pick,best_of,book,odds,stake,result,pl,cum_pl,clv_pp,clv_ref,close_quality,status,flagged_at_utc
bo3_dog_plus_1_5_v0,2026-07-22 10:30,,Eternal Fire vs CYBERSHOKE,+1.5 maps,CYBERSHOKE,3,Sharp,1.364,1,won,0.364,,2.48,Sharp,,ineligible,2026-07-22 06:05
bo3_dog_plus_1_5_v0,2026-07-22 11:00,,SPARTA vs SAW Youngsters,+1.5 maps,SAW Youngsters,3,Sharp,1.769,1,won,0.769,0.769,1.36,Sharp,,selected,2026-07-22 03:09
bo3_dog_plus_1_5_v0,2026-07-22 11:00,,Enjoy vs Fortress,+1.5 maps,Fortress,3,Sharp,2.84,1,won,1.84,,-1.39,Sharp,,ineligible,2026-07-22 03:09
bo3_dog_plus_1_5_v0,2026-07-22 12:30,,Nemiga vs G2,+1.5 maps,Nemiga,3,Sharp,2.52,1,won,1.52,,3.61,Sharp,,ineligible,2026-07-22 03:09
bo3_dog_plus_1_5_v0,2026-07-22 16:00,,Nuclear TigeRES vs Echo,+1.5 maps,Echo,3,Sharp,1.549,1,won,0.549,,-1.28,Sharp,,ineligible,2026-07-22 03:09
bo3_dog_plus_1_5_v0,2026-07-22 17:00,,QUAZAR vs SAW Youngsters,+1.5 maps,SAW Youngsters,3,Sharp,1.746,1,won,0.746,1.515,2.38,Sharp,,selected,2026-07-22 03:09
bo3_dog_plus_1_5_v0,2026-07-23 13:00,,Ninjas in Pyjamas vs Echo,+1.5 maps,Echo,3,Sharp,1.725,1,lost,-1.0,,0.42,Sharp,,ineligible,2026-07-23 02:08
bo3_dog_plus_1_5_v0,2026-07-23 13:00,,100 Thieves vs Nuclear TigeRES,+1.5 maps,Nuclear TigeRES,3,Sharp,1.469,1,won,0.469,,1.48,Sharp,,ineligible,2026-07-23 02:08
bo3_dog_plus_1_5_v0,2026-07-23 17:00,,Misa vs Rounds,+1.5 maps,Rounds,3,Sharp,1.877,1,lost,-1.0,0.515,-5.92,Sharp,,selected,2026-07-23 02:08
bo3_dog_plus_1_5_v0,2026-07-24 11:00,,megoshort vs Rounds,+1.5 maps,Rounds,3,Sharp,1.418,1,won,0.418,,1.92,Sharp,,ineligible,2026-07-24 06:06
